+ Add Milestone,+ បន្ថែមព្រឹត្តិការណ៍សំខាន់
No Milestone,គ្មានព្រឹត្តិការណ៍សំខាន់
No milestones,គ្មានព្រឹត្តិការណ៍សំខាន់
No milestones defined for this project.,គ្មានព្រឹត្តិការណ៍សំខាន់ត្រូវបានកំណត់សម្រាប់គម្រោងនេះ។
No notes yet.,មិនទាន់មានកំណត់ចំណាំនៅឡើយ។
No notes yet. Add a due diligence note to track progress.,មិនទាន់មានកំណត់ចំណាំនៅឡើយ។ បន្ថែមកំណត់ចំណាំការពិនិត្យឱ្យបានហ្មត់ចត់ដើម្បីតាមដានវឌ្ឍនភាព។
No notifications,គ្មានការជូនដំណឹង
No Orga Project linked to Frappe Project {0},គ្មានគម្រោង Orga ភ្ជាប់ទៅគម្រោង Frappe {0}
No overdue tasks,គ្មានភារកិច្ចផុតកំណត់
No pending cascade changes,គ្មានការផ្លាស់ប្ដូរបន្តបន្ទាប់ដែលកំពុងរង់ចាំ
No predecessors - this task can start independently,គ្មានកិច្ចការមុន - ភារកិច្ចនេះអាចចាប់ផ្ដើមដោយឯករាជ្យ
No project,គ្មានគម្រោង
No projects found,រកមិនឃើញគម្រោង
No Projects Yet,មិនទាន់មានគម្រោងនៅឡើយ
No recent activity,គ្មានសកម្មភាពថ្មីៗ
No related documents,គ្មានឯកសារពាក់ព័ន្ធ
No resolved threads.,គ្មានខ្សែបន្ទាត់ដែលបានដោះស្រាយ។
No resources found,រកមិនឃើញធនធាន
No results found,រកមិនឃើញលទ្ធផល
No skills listed,គ្មានជំនាញត្រូវបានរាយ
No skills recorded yet,មិនទាន់មានជំនាញត្រូវបានកត់ត្រានៅឡើយ
No successors - no tasks are waiting for this one,គ្មានកិច្ចការបន្ទាប់ - គ្មានភារកិច្ចកំពុងរង់ចាំភារកិច្ចនេះ
No task selected,គ្មានភារកិច្ចត្រូវបានជ្រើសរើស
No tasks assigned to you,គ្មានភារកិច្ចត្រូវបានចាត់តាំងឱ្យអ្នក
No tasks available to add,គ្មានភារកិច្ចមានដើម្បីបន្ថែម
No tasks found,រកមិនឃើញភារកិច្ច
No tasks linked to this milestone,គ្មានភារកិច្ចភ្ជាប់ទៅព្រឹត្តិការណ៍សំខាន់នេះ
No tasks with dates to display,គ្មានភារកិច្ចដែលមានកាលបរិច្ឆេទដើម្បីបង្ហាញ
No tasks yet,មិនទាន់មានភារកិច្ចនៅឡើយ
No team members,គ្មានសមាជិកក្រុម
No template,គ្មានគំរូ
No templates yet,មិនទាន់មានគំរូនៅឡើយ
No time data found,រកមិនឃើញទិន្នន័យពេលវេលា
No time logged today,គ្មានពេលវេលាត្រូវបានកត់ត្រាថ្ងៃនេះ
No time logged yet,មិនទាន់មានពេលវេលាត្រូវបានកត់ត្រានៅឡើយ
No time logs for this period,គ្មានកំណត់ហេតុពេលវេលាសម្រាប់រយៈពេលនេះ
No time logs found,រកមិនឃើញកំណត់ហេតុពេលវេលា
No unread notifications,គ្មានការជូនដំណឹងដែលមិនទាន់អាន
No update information available yet.,No update information available yet.
None,គ្មាន
Not found,រកមិនឃើញ
Not permitted,មិនត្រូវបានអនុញ្ញាត
Not permitted to access this project,មិនត្រូវបានអនុញ្ញាតឱ្យចូលប្រើគម្រោងនេះ
Not permitted to access this task,មិនត្រូវបានអនុញ្ញាតឱ្យចូលប្រើភារកិច្ចនេះ
Not permitted to check for updates,Not permitted to check for updates
Not permitted to comment on this document,មិនត្រូវបានអនុញ្ញាតឱ្យបញ្ចេញមតិយោបល់លើឯកសារនេះ
Not permitted to create clients,មិនត្រូវបានអនុញ្ញាតឱ្យបង្កើតអតិថិជន
Not permitted to delete this client,មិនត្រូវបានអនុញ្ញាតឱ្យលុបអតិថិជននេះ
Not permitted to delete this defect,មិនត្រូវបានអនុញ្ញាតឱ្យលុបកំហុសនេះ
Not permitted to delete this note,មិនត្រូវបានអនុញ្ញាតឱ្យលុបកំណត់ចំណាំនេះ
Not permitted to delete this project,មិនត្រូវបានអនុញ្ញាតឱ្យលុបគម្រោងនេះ
Not permitted to delete this task,មិនត្រូវបានអនុញ្ញាតឱ្យលុបភារកិច្ចនេះ
Not permitted to delete this time log,មិនត្រូវបានអនុញ្ញាតឱ្យលុបកំណត់ហេតុពេលវេលានេះ
Not permitted to invite clients,មិនត្រូវបានអនុញ្ញាតឱ្យអញ្ជើញអតិថិជន
Not permitted to modify client access,មិនត្រូវបានអនុញ្ញាតឱ្យកែប្រែសិទ្ធិចូលប្រើអតិថិជន
Not permitted to modify this project,មិនត្រូវបានអនុញ្ញាតឱ្យកែប្រែគម្រោងនេះ
Not permitted to update settings,មិនត្រូវបានអនុញ្ញាតឱ្យធ្វើបច្ចុប្បន្នភាពការកំណត់
Not permitted to update this client,មិនត្រូវបានអនុញ្ញាតឱ្យធ្វើបច្ចុប្បន្នភាពអតិថិជននេះ
Not permitted to view this client,មិនត្រូវបានអនុញ្ញាតឱ្យមើលអតិថិជននេះ
not sent,មិនបានផ្ញើ
Not set,មិនបានកំណត់
Not specified,មិនបានបញ្ជាក់
Note,កំណត់ចំណាំ
Note (optional),កំណត់ចំណាំ (ស្រេចចិត្ត)
Note Content,ខ្លឹមសារកំណត់ចំណាំ
Note content is required,ខ្លឹមសារកំណត់ចំណាំគឺចាំបាច់
Note name is required,ឈ្មោះកំណត់ចំណាំគឺចាំបាច់
Note not found,រកមិនឃើញកំណត់ចំណាំ
Note Type,ប្រភេទកំណត់ចំណាំ
Notes,កំណត់ចំណាំនានា
Notification,ការជូនដំណឹង
Notification not found,រកមិនឃើញការជូនដំណឹង
Notifications,ការជូនដំណឹងនានា
Off Track,រសាត់ចេញពីផែនការ
Offer,ការផ្ដល់ជូន
Offer Prepared,ការផ្ដល់ជូនត្រូវបានរៀបចំ
Oldest First,ចាស់បំផុតមុន
On Hold,ព្យួរ
On Leave,ឈប់សម្រាក
On Track,ដំណើរការល្អ
On-Time Rate,អត្រាទាន់ពេល
Only administrators can delete activities,មានតែអ្នកគ្រប់គ្រងប្រព័ន្ធទេដែលអាចលុបសកម្មភាព
Only the comment author or administrators can delete comments,មានតែអ្នកនិពន្ធមតិយោបល់ ឬអ្នកគ្រប់គ្រងប្រព័ន្ធទេដែលអាចលុបមតិយោបល់
Only you and admins,មានតែអ្នក និងអ្នកគ្រប់គ្រង
Open,បើក
Open in Desk,បើកក្នុង Desk
Open Task Log,បើកកំណត់ហេតុភារកិច្ច
Open Tasks,ភារកិច្ចដែលបើក
Optional,ស្រេចចិត្ត
optional,ស្រេចចិត្ត
Or email us directly at,ឬផ្ញើអ៊ីមែលមកយើងដោយផ្ទាល់តាម
Orga Project {0} from Frappe Projects,គម្រោង Orga {0} ពីគម្រោង Frappe
Orga Task {0} from Frappe,ភារកិច្ច Orga {0} ពី Frappe
Organizer,អ្នករៀបចំ
Other,ផ្សេងទៀត
Over Budget,លើសថវិកា
Overall Progress,វឌ្ឍនភាពសរុប
Overall Utilization,ការប្រើប្រាស់សរុប
Overallocated,បែងចែកលើស
Overdue,ផុតកំណត់
overdue,ផុតកំណត់
Overdue Tasks,ភារកិច្ចផុតកំណត់
Overview,ទិដ្ឋភាពទូទៅ
Owner,ម្ចាស់
Page Not Found,រកមិនឃើញទំព័រ
Parent,មេ
Parent comment must belong to the same document,មតិយោបល់មេត្រូវតែជារបស់ឯកសារតែមួយ
Parent comment not found,រកមិនឃើញមតិយោបល់មេ
Parent project not synced to Frappe yet,គម្រោងមេមិនទាន់បានធ្វើសមកាលកម្មទៅ Frappe នៅឡើយ
Parent project sync not enabled,ការធ្វើសមកាលកម្មគម្រោងមេមិនត្រូវបានបើក
Partner,ដៃគូ
Pending,កំពុងរង់ចាំ
per page,ក្នុងមួយទំព័រ
Perform initial assessment and background check,អនុវត្តការវាយតម្លៃដំបូង និងការផ្ទៀងផ្ទាត់ប្រវត្តិ
Permanently remove this event,ដកចេញព្រឹត្តិការណ៍នេះជាអចិន្ត្រៃយ៍
Permanently remove this task,ដកចេញភារកិច្ចនេះជាអចិន្ត្រៃយ៍
Phone,ទូរសព្ទ
Pin,ខ្ទាស
Pin Activity,ខ្ទាសសកម្មភាព
Pin to top,ខ្ទាសនៅកំពូល
Pinned,បានខ្ទាស
Planned budget for this task,ថវិកាដែលបានគ្រោងសម្រាប់ភារកិច្ចនេះ
Planning,ការធ្វើផែនការ
Please describe your question or issue in detail...,សូមពិពណ៌នាសំណួរ ឬបញ្ហារបស់អ្នកដោយលម្អិត...
Please login to access Orga,សូមចូលដើម្បីចូលប្រើ Orga
Please login to access the client portal,សូមចូលដើម្បីចូលប្រើវិបផតថលអតិថិជន
Please respond to this invitation in Orga,សូមឆ្លើយតបទៅការអញ្ជើញនេះក្នុង Orga
Please select an image file,សូមជ្រើសរើសឯកសាររូបភាព
Please try again,សូមព្យាយាមម្ដងទៀត
Please type,សូមវាយ
Portal,វិបផតថល
Portal access revoked for {0},សិទ្ធិចូលប្រើវិបផតថលត្រូវបានដកហូតសម្រាប់ {0}
Portal user created successfully. Welcome email {0},អ្នកប្រើប្រាស់វិបផតថលត្រូវបានបង្កើតដោយជោគជ័យ។ អ៊ីមែលស្វាគមន៍ {0}
Post,បង្ហោះ
Powered by,ដំណើរការដោយ
Powered by Tonic,ដំណើរការដោយ Tonic
Predecessors (Blocked By),កិច្ចការមុន (ត្រូវបានទប់ស្កាត់ដោយ)
Preferences,ចំណូលចិត្ត
Preferences saved successfully,ចំណូលចិត្តត្រូវបានរក្សាទុកដោយជោគជ័យ
"Prefix for auto-generated project codes (e.g., ORG-2026-0001)",បុព្វបទសម្រាប់កូដគម្រោងស្វ័យប្រវត្តិ (ឧ. ORG-2026-0001)
Prepare and document offer terms,រៀបចំ និងកត់ត្រាលក្ខខណ្ឌផ្ដល់ជូន
Press,ចុច
Preview,មើលជាមុន
Preview cascade before applying,មើលជាមុនបន្តបន្ទាប់មុនពេលអនុវត្ត
Previous,មុន
Priority,អាទិភាព
Priority assigned to new tasks,អាទិភាពដែលបានចាត់តាំងទៅភារកិច្ចថ្មី
Priority updated,អាទិភាពត្រូវបានធ្វើបច្ចុប្បន្នភាព
Proficiency,ជំនាញ
Profile,ប្រវត្តិរូប
Progress,វឌ្ឍនភាព
Progress (High-Low),វឌ្ឍនភាព (ខ្ពស់-ទាប)
Progress (Low-High),វឌ្ឍនភាព (ទាប-ខ្ពស់)
Progress Overview,ទិដ្ឋភាពទូទៅនៃវឌ្ឍនភាព
Progress updated,វឌ្ឍនភាពត្រូវបានធ្វើបច្ចុប្បន្នភាព
Project,គម្រោង
Project budget has been saved.,ថវិកាគម្រោងត្រូវបានរក្សាទុក។
Project code (e.g. ORG-2026-0001),កូដគម្រោង (ឧ. ORG-2026-0001)
Project Code Prefix,បុព្វបទកូដគម្រោង
Project created,គម្រោងត្រូវបានបង្កើត
Project deleted,គម្រោងត្រូវបានលុប
Project description has been saved.,ការពិពណ៌នាគម្រោងត្រូវបានរក្សាទុក។
Project Details,ព័ត៌មានលម្អិតគម្រោង
Project end date has been saved.,កាលបរិច្ឆេទបញ្ចប់គម្រោងត្រូវបានរក្សាទុក។
Project Files,ឯកសារគម្រោង
Project has no linked client,គម្រោងមិនមានអតិថិជនភ្ជាប់ទេ
Project Health,សុខភាពគម្រោង
Project Info,ព័ត៌មានគម្រោង
Project is required,គម្រោងគឺចាំបាច់
Project is required for project context,គម្រោងគឺចាំបាច់សម្រាប់បរិបទគម្រោង
Project is required when tracking context is 'project',គម្រោងគឺចាំបាច់នៅពេលបរិបទតាមដានគឺ 'project'
Project Manager,អ្នកគ្រប់គ្រងគម្រោង
Project Name,ឈ្មោះគម្រោង
Project name and template name are required,ឈ្មោះគម្រោង និងឈ្មោះគំរូគឺចាំបាច់
Project name is required,ឈ្មោះគម្រោងគឺចាំបាច់
Project not found,រកមិនឃើញគម្រោង
Project not found or you do not have access,រកមិនឃើញគម្រោង ឬអ្នកមិនមានសិទ្ធិចូលប្រើ
Project settings,ការកំណត់គម្រោង
Project start date has been saved.,កាលបរិច្ឆេទចាប់ផ្ដើមគម្រោងត្រូវបានរក្សាទុក។
Project title has been saved.,ចំណងជើងគម្រោងត្រូវបានរក្សាទុក។
Project Type,ប្រភេទគម្រោង
Project updated,គម្រោងត្រូវបានធ្វើបច្ចុប្បន្នភាព
Project {0} linked to client {1},គម្រោង {0} ភ្ជាប់ទៅអតិថិជន {1}
Project {0} not found,រកមិនឃើញគម្រោង {0}
Project {0} to Frappe Projects,គម្រោង {0} ទៅគម្រោង Frappe
Project:,គម្រោង:
projects,គម្រោង
Projects,គម្រោងនានា
Projects created:,គម្រោងដែលបានបង្កើត:
Projects Overview,ទិដ្ឋភាពទូទៅគម្រោង
Projects skipped:,គម្រោងដែលបានរំលង:
Projects updated:,គម្រោងដែលបានធ្វើបច្ចុប្បន្នភាព:
Promote failed,ការដំឡើងបានបរាជ័យ
Promote to task,ដំឡើងទៅភារកិច្ច
Promoted to task,បានដំឡើងទៅភារកិច្ច
Propose,ស្នើ
Propose New Time,ស្នើពេលវេលាថ្មី
Propose Time,ស្នើពេលវេលា
Proposed End,ការបញ្ចប់ដែលបានស្នើ
Proposed Start,ការចាប់ផ្ដើមដែលបានស្នើ
Public,សាធារណៈ
Quick Action,សកម្មភាពរហ័ស
Quick Actions,សកម្មភាពរហ័សនានា
Quick Stats,ស្ថិតិរហ័ស
Rates,អត្រា
Receive notifications via email,ទទួលការជូនដំណឹងតាមអ៊ីមែល
Receive notifications within the application,ទទួលការជូនដំណឹងក្នុងកម្មវិធី
Recent Activity,សកម្មភាពថ្មីៗ
Recipient {0} is not a valid user,អ្នកទទួល {0} មិនមែនជាអ្នកប្រើប្រាស់ត្រឹមត្រូវទេ
Reference,ឯកសារយោង
Refresh,ផ្ទុកឡើងវិញ
Related,ពាក់ព័ន្ធ
Related Company (optional),ក្រុមហ៊ុនពាក់ព័ន្ធ (ស្រេចចិត្ត)
Related Documents,ឯកសារពាក់ព័ន្ធ
Related Project,គម្រោងពាក់ព័ន្ធ
Remaining,នៅសល់
Reminder,ការរំលឹក
Reminder Lead Time,ពេលវេលាមុនការរំលឹក
Reminder: {0} - {1} at {2},ការរំលឹក: {0} - {1} នៅ {2}
Remove,ដកចេញ
Remove dependency,ដកចេញភាពអាស្រ័យ
Remove dependency on,ដកចេញភាពអាស្រ័យលើ
Remove from group,ដកចេញពីក្រុម
Remove group dependency,ដកចេញភាពអាស្រ័យក្រុម
Remove skill,ដកចេញជំនាញ
Reopen,បើកឡើងវិញ
Reopen thread,បើកខ្សែបន្ទាត់ឡើងវិញ
reopened,បានបើកឡើងវិញ
replies,ការឆ្លើយតប
Reply,ឆ្លើយតប
reply,ឆ្លើយតប
Replying to,កំពុងឆ្លើយតបទៅ
Replying to comment,កំពុងឆ្លើយតបទៅមតិយោបល់
Report Defect,រាយការណ៍កំហុស
Reported Date,កាលបរិច្ឆេទរាយការណ៍
Reports,របាយការណ៍នានា
Reports To,រាយការណ៍ទៅ
Request Submitted!,សំណើត្រូវបានដាក់ស្នើ!
Required,ចាំបាច់
required,ចាំបាច់
Research,ការស្រាវជ្រាវ
Reset to Defaults,កំណត់ឡើងវិញទៅលំនាំដើម
Resolve,ដោះស្រាយ
Resolve thread,ដោះស្រាយខ្សែបន្ទាត់
Resolved,បានដោះស្រាយ
Resolved date cannot be before reported date,កាលបរិច្ឆេទដោះស្រាយមិនអាចមុនកាលបរិច្ឆេទរាយការណ៍បានទេ
Resource,ធនធាន
Resource and skill name are required,ធនធាន និងឈ្មោះជំនាញគឺចាំបាច់
Resource is already an attendee,ធនធានជាអ្នកចូលរួមរួចហើយ
Resource name is required,ឈ្មោះធនធានគឺចាំបាច់
Resource not found,រកមិនឃើញធនធាន
Resource synced from employee {0},ធនធានត្រូវបានធ្វើសមកាលកម្មពីបុគ្គលិក {0}
Resource {0} is already assigned to this task ({1}),ធនធាន {0} ត្រូវបានចាត់តាំងទៅភារកិច្ចនេះរួចហើយ ({1})
Resource {0} not found,រកមិនឃើញធនធាន {0}
Resources,ធនធាននានា
Retry,ព្យាយាមម្ដងទៀត
Review,ពិនិត្យ
Review all relevant documents and contracts,ពិនិត្យឯកសារ និងកិច្ចសន្យាពាក់ព័ន្ធទាំងអស់
Reviews,ការពិនិត្យនានា
Risk Assessment,ការវាយតម្លៃហានិភ័យ
Rollback,ត្រឡប់ក្រោយ
Rolled back,បានត្រឡប់ក្រោយ
Room or address,បន្ទប់ ឬអាសយដ្ឋាន
RSVP,RSVP
Safety,សុវត្ថិភាព
Sat,សៅរ៍
Save,រក្សាទុក
"Save a project as a template, or import one from a JSON file.",រក្សាទុកគម្រោងជាគំរូ ឬនាំចូលមួយពីឯកសារ JSON។
Save as Template,រក្សាទុកជាគំរូ
Save Changes,រក្សាទុកការផ្លាស់ប្ដូរ
Save failed,ការរក្សាទុកបានបរាជ័យ
Save Preferences,រក្សាទុកចំណូលចិត្ត
Save Template,រក្សាទុកគំរូ
Saving...,កំពុងរក្សាទុក...
Schedule,កាលវិភាគ
Schedule type is required for scheduled triggers,ប្រភេទកាលវិភាគគឺចាំបាច់សម្រាប់កម្មវិធីកំណត់ពេលកំណត់
Scheduled,បានកំណត់កាលវិភាគ
Search,ស្វែងរក
"Search by name, email, or skill...",ស្វែងរកតាមឈ្មោះ អ៊ីមែល ឬជំនាញ...
Search for a project...,ស្វែងរកគម្រោង...
Search for a task...,ស្វែងរកភារកិច្ច...
Search for an event...,ស្វែងរកព្រឹត្តិការណ៍...
Search for people to invite...,ស្វែងរកមនុស្សដើម្បីអញ្ជើញ...
Search tasks to link...,ស្វែងរកភារកិច្ចដើម្បីភ្ជាប់...
Search tasks...,ស្វែងរកភារកិច្ច...
Search...,ស្វែងរក...
Searching...,កំពុងស្វែងរក...
Seen,បានឃើញ
Select a project if your request is related to a specific project.,ជ្រើសរើសគម្រោងប្រសិនបើសំណើរបស់អ្នកទាក់ទងនឹងគម្រោងជាក់លាក់។
Select a project...,ជ្រើសរើសគម្រោង...
Select a task from the Gantt chart to view and manage its details.,ជ្រើសរើសភារកិច្ចពីតារាង Gantt ដើម្បីមើល និងគ្រប់គ្រងព័ត៌មានលម្អិត។
Select a task from the list or Kanban board to view and manage its details.,ជ្រើសរើសភារកិច្ចពីបញ្ជី ឬក្ដារ Kanban ដើម្បីមើល និងគ្រប់គ្រងព័ត៌មានលម្អិត។
Select a template...,ជ្រើសរើសគំរូ...
Select priority...,ជ្រើសរើសអាទិភាព...
Select status...,ជ្រើសរើសស្ថានភាព...
Select task...,ជ្រើសរើសភារកិច្ច...
Select type...,ជ្រើសរើសប្រភេទ...
Selection,ការជ្រើសរើស
Send,ផ្ញើ
Send comment,ផ្ញើមតិយោបល់
Send email invitations to attendees,ផ្ញើអ៊ីមែលអញ្ជើញដល់អ្នកចូលរួម
Send Invitations,ផ្ញើការអញ្ជើញ
Send notification when a task is assigned to a user,ផ្ញើការជូនដំណឹងពេលភារកិច្ចត្រូវបានចាត់តាំងឱ្យអ្នកប្រើប្រាស់
Send notification when task status changes,ផ្ញើការជូនដំណឹងពេលស្ថានភាពភារកិច្ចផ្លាស់ប្ដូរ
Send reminder before task due date,ផ្ញើការរំលឹកមុនកាលបរិច្ឆេទផុតកំណត់ភារកិច្ច
sent,បានផ្ញើ
Set rate,កំណត់អត្រា
Settings,ការកំណត់
Settings saved successfully,ការកំណត់ត្រូវបានរក្សាទុកដោយជោគជ័យ
Severity,ភាពធ្ងន់ធ្ងរ
SF (Start-Finish),SF (ចាប់ផ្ដើម-បញ្ចប់)
SF - Start-to-Finish,SF - ចាប់ផ្ដើមទៅបញ្ចប់
Show,បង្ហាញ
Show all,បង្ហាញទាំងអស់
Show all changes,បង្ហាញការផ្លាស់ប្ដូរទាំងអស់
Show Archived,បង្ហាញបានរក្សាទុក
Show full diff,បង្ហាញភាពខុសគ្នាពេញលេញ
Show less,បង្ហាញតិច
Show more,បង្ហាញបន្ថែម
Skill added,ជំនាញត្រូវបានបន្ថែម
Skill is required,ជំនាញគឺចាំបាច់
Skill Name,ឈ្មោះជំនាញ
Skill removed,ជំនាញត្រូវបានដកចេញ
Skill {0} already exists for this resource,ជំនាញ {0} មានរួចហើយសម្រាប់ធនធាននេះ
Skills,ជំនាញនានា
Skills & Competencies,ជំនាញ និងសមត្ថភាព
Skip already migrated projects,រំលងគម្រោងដែលបានផ្លាស់ប្ដូររួចហើយ
Sort by,តម្រៀបតាម
Sort: Due Date,តម្រៀប: កាលបរិច្ឆេទផុតកំណត់
Sort: Priority,តម្រៀប: អាទិភាព
Sort: Project,តម្រៀប: គម្រោង
Sort: Status,តម្រៀប: ស្ថានភាព
Sort: Task,តម្រៀប: ភារកិច្ច
Source Code,កូដប្រភព
Spent,បានចំណាយ
Spent:,បានចំណាយ:
SS (Start-Start),SS (ចាប់ផ្ដើម-ចាប់ផ្ដើម)
SS - Start-to-Start,SS - ចាប់ផ្ដើមទៅចាប់ផ្ដើម
Standalone,ឯករាជ្យ
Start,ចាប់ផ្ដើម
Start a discussion below,ចាប់ផ្ដើមការពិភាក្សាខាងក្រោម
Start Date,កាលបរិច្ឆេទចាប់ផ្ដើម
Start date,កាលបរិច្ឆេទចាប់ផ្ដើម
Start Date (Earliest),កាលបរិច្ឆេទចាប់ផ្ដើម (មុនគេ)
Start date updated,កាលបរិច្ឆេទចាប់ផ្ដើមត្រូវបានធ្វើបច្ចុប្បន្នភាព
Start date/time is required,កាលបរិច្ឆេទ/ពេលវេលាចាប់ផ្ដើមគឺចាំបាច់
Start Migration,ចាប់ផ្ដើមការផ្លាស់ប្ដូរ
Start the conversation below.,ចាប់ផ្ដើមការសន្ទនាខាងក្រោម។
Start Timer,ចាប់ផ្ដើមកម្មវិធីកំណត់ពេល
Start typing to search...,ចាប់ផ្ដើមវាយដើម្បីស្វែងរក...
Start-to-Finish,ចាប់ផ្ដើមទៅបញ្ចប់
Start-to-Start,ចាប់ផ្ដើមទៅចាប់ផ្ដើម
Start:,ចាប់ផ្ដើម:
Statistics reset,ស្ថិតិត្រូវបានកំណត់ឡើងវិញ
Status,ស្ថានភាព
Status assigned to new projects,ស្ថានភាពដែលបានចាត់តាំងទៅគម្រោងថ្មី
Status assigned to new tasks,ស្ថានភាពដែលបានចាត់តាំងទៅភារកិច្ចថ្មី
Status Changes,ការផ្លាស់ប្ដូរស្ថានភាព
Status updated,ស្ថានភាពត្រូវបានធ្វើបច្ចុប្បន្នភាព
Status:,ស្ថានភាព:
Stop,បញ្ឈប់
Stop & Save,បញ្ឈប់ និងរក្សាទុក
Stop Timer,បញ្ឈប់កម្មវិធីកំណត់ពេល
Stops current timer and starts for this event,បញ្ឈប់កម្មវិធីកំណត់ពេលបច្ចុប្បន្ន និងចាប់ផ្ដើមសម្រាប់ព្រឹត្តិការណ៍នេះ
Stops current timer and starts for this task,បញ្ឈប់កម្មវិធីកំណត់ពេលបច្ចុប្បន្ន និងចាប់ផ្ដើមសម្រាប់ភារកិច្ចនេះ
Subject,ប្រធានបទ
Subject cannot exceed 255 characters,ប្រធានបទមិនអាចលើស ២៥៥ តួអក្សរបានទេ
Subject is required,ប្រធានបទគឺចាំបាច់
Submit,ដាក់ស្នើ
Submit Another Request,ដាក់ស្នើសំណើមួយទៀត
Submit Request,ដាក់ស្នើសំណើ
Submitting...,កំពុងដាក់ស្នើ...
Successfully saved,បានរក្សាទុកដោយជោគជ័យ
Successors (Blocking),កិច្ចការបន្ទាប់ (កំពុងទប់ស្កាត់)
Sun,អាទិត្យ
Supplier,អ្នកផ្គត់ផ្គង់
Support,ការគាំទ្រ
Switch to this event,ប្ដូរទៅព្រឹត្តិការណ៍នេះ
Switch to this task,ប្ដូរទៅភារកិច្ចនេះ
Sync direction is set to Frappe to Orga only,ទិសដៅធ្វើសមកាលកម្មត្រូវបានកំណត់ពី Frappe ទៅ Orga តែប៉ុណ្ណោះ
Sync direction is set to Orga to Frappe only,ទិសដៅធ្វើសមកាលកម្មត្រូវបានកំណត់ពី Orga ទៅ Frappe តែប៉ុណ្ណោះ
Sync not enabled for this project,ការធ្វើសមកាលកម្មមិនត្រូវបានបើកសម្រាប់គម្រោងនេះ
System,ប្រព័ន្ធ
Table,តារាង
Take ownership of this task,ទទួលយកកម្មសិទ្ធិលើភារកិច្ចនេះ
Target Date,កាលបរិច្ឆេទគោលដៅ
Target End,ការបញ្ចប់គោលដៅ
Target Project,គម្រោងគោលដៅ
Target user is required for '{0}' action,អ្នកប្រើប្រាស់គោលដៅគឺចាំបាច់សម្រាប់សកម្មភាព '{0}'
task,ភារកិច្ច
Task,ភារកិច្ច
Task '{0}' is due on {1}.,ភារកិច្ច '{0}' ផុតកំណត់នៅ {1}។
Task and resource are required,ភារកិច្ច និងធនធានគឺចាំបាច់
Task Assignment,ការចាត់តាំងភារកិច្ច
Task cannot be its own parent,ភារកិច្ចមិនអាចជាមេរបស់ខ្លួនឯងបានទេ
Task cannot depend on itself,ភារកិច្ចមិនអាចអាស្រ័យលើខ្លួនឯងបានទេ
Task cannot depend on the group it belongs to,ភារកិច្ចមិនអាចអាស្រ័យលើក្រុមដែលវាស្ថិតក្នុងបានទេ
Task created,ភារកិច្ចត្រូវបានបង្កើត
Task deleted,ភារកិច្ចត្រូវបានលុប
Task description has been saved.,ការពិពណ៌នាភារកិច្ចត្រូវបានរក្សាទុក។
Task Details,ព័ត៌មានលម្អិតភារកិច្ច
Task due in {0} days: {1},ភារកិច្ចផុតកំណត់ក្នុង {0} ថ្ងៃ: {1}
Task due today: {0},ភារកិច្ចផុតកំណត់ថ្ងៃនេះ: {0}
Task due tomorrow: {0},ភារកិច្ចផុតកំណត់ថ្ងៃស្អែក: {0}
Task duplicated,ភារកិច្ចត្រូវបានចម្លង
Task Group,ក្រុមភារកិច្ច
Task ID is required,លេខសម្គាល់ភារកិច្ចគឺចាំបាច់
Task is blocked by incomplete dependencies,ភារកិច្ចត្រូវបានទប់ស្កាត់ដោយភាពអាស្រ័យដែលមិនទាន់បញ្ចប់
Task is cancelled,ភារកិច្ចត្រូវបានបោះបង់
Task is completed,ភារកិច្ចត្រូវបានបញ្ចប់
Task is no longer blocked by a group,ភារកិច្ចលែងត្រូវបានទប់ស្កាត់ដោយក្រុមទៀតហើយ
Task is required for task context,ភារកិច្ចគឺចាំបាច់សម្រាប់បរិបទភារកិច្ច
Task is required when tracking context is 'task',ភារកិច្ចគឺចាំបាច់នៅពេលបរិបទតាមដានគឺ 'task'
Task linked,ភារកិច្ចត្រូវបានភ្ជាប់
Task moved,ភារកិច្ចត្រូវបានផ្លាស់ទី
Task name,ឈ្មោះភារកិច្ច
Task name is required,ឈ្មោះភារកិច្ចគឺចាំបាច់
Task removed from group,ភារកិច្ចត្រូវបានដកចេញពីក្រុម
Task Subject,ប្រធានបទភារកិច្ច
Task subject is required,ប្រធានបទភារកិច្ចគឺចាំបាច់
Task Type,ប្រភេទភារកិច្ច
Task unblocked: {0},ភារកិច្ចត្រូវបានដោះទប់ស្កាត់: {0}
Task unlinked,ភារកិច្ចត្រូវបានផ្ដាច់
Task updated,ភារកិច្ចត្រូវបានធ្វើបច្ចុប្បន្នភាព
Task {0} not found,រកមិនឃើញភារកិច្ច {0}
Task {0} not in project {1},ភារកិច្ច {0} មិនស្ថិតក្នុងគម្រោង {1}
Task {0} to Frappe,ភារកិច្ច {0} ទៅ Frappe
Tasks,ភារកិច្ចនានា
tasks,ភារកិច្ច
Tasks and milestones will be created with dates relative to the project start date.,ភារកិច្ច និងព្រឹត្តិការណ៍សំខាន់នឹងត្រូវបានបង្កើតជាមួយកាលបរិច្ឆេទទាក់ទងនឹងកាលបរិច្ឆេទចាប់ផ្ដើមគម្រោង។
